220527-06:46:56 127.0.0.1                SYST 
220527-06:47:00 127.0.0.1                LIST 
220527-06:47:04 127.0.0.1                MKD shell 
220527-06:47:08 127.0.0.1                CWD shell 
220527-06:47:19 127.0.0.1                STOR shell.php 
220527-06:47:23 127.0.0.1                CWD ../ 
220527-06:47:24 127.0.0.1                LIST 
220527-06:47:32 127.0.0.1                RMD home 
220527-06:47:39 127.0.0.1                LIST 
220527-06:47:44 127.0.0.1                PWD 
220527-06:47:52 127.0.0.1                CWD home 
220527-06:47:55 127.0.0.1                LIST 
220527-06:47:59 127.0.0.1                RETR shell.php 
220527-06:48:02 127.0.0.1                CWD .. 
220527-06:48:19 127.0.0.1                CWD shell.php 
220527-06:48:22 127.0.0.1                PWD 
220527-06:48:24 127.0.0.1                CWD shell 
220527-06:48:27 127.0.0.1                PWD 
220527-06:48:28 127.0.0.1                LIST 
220527-06:48:33 127.0.0.1                RETR shell.php 
220527-06:48:36 127.0.0.1                RMD shell.php 
220527-06:48:50 127.0.0.1                QUIT 
